99010003;7596433016921;15W40;ACEITE DE MOTOR API SN SEMISINTETIC SAE15W4;5.2
99010005;7596433016945;20W50;ACEITE DE MOTOR API SL MINERAL SAE20W50;4.25
99010009;7596433016990;D III;ACEITE TRANSMISION ATF DEXRON III;4
99010010;7596433016983;M V;ACEITE TRANSMISION ATF MERCON V;6.62
99010013;7596433017058;80W90;ACEITE TRANSMISION API-GL-5 80W90;4.73
P983003;23968467241;;Chevron Supreme Motor Oil SAE 10W30 MINERAL API SN PLUS (cuarto de galon);4.73
P983004;23968467258;;Chevron Supreme Motor Oil SAE 10W40 MINERAL API SN PLUS (cuarto de galon);4.73
P962000;7592344003456;;PIRETRON INSECTICIDA 148g 6 X;3.95
P962001;7592344003494;;PIRETRON Acaros 6 X 148g;3.48
P971007;7592344004552;;LIMPIADOR MULTIUSO SPRAY MATIC 150g;2.37
P961129;7592344004569;;RESTAURADOR DE SUPERFICIE SPRAY MATIC 150g;4.3
P971008;7592344004583;;LIMPIA ALFOMBRAS SPRAY MATIC 150g;2.41
P980030;7592344004576;;DESENGRASANTE SPRAY MATIC 6 X 150g;2.84
